CASE_NUMBER,median_appraised_value,median_land_to_total_ratio,homestead_exemption_share,owner_occupancy_share,median_structure_age
C14-2024-0059,614769.2706434178,0.34838255447240574,0.7276302201224012,0.7736555272092491,55.38044834640626
C14-2008-0151,576312.6757996086,0.2048262436936825,0.17801054227869717,0.25574814626671416,19.362082640260493
C14-96-0003,710391.7701859556,0.7780362856438845,0.1871859056895299,0.27098065119573767,59.10085561616696
C14-2023-0154,684962.7386844272,0.6740730286573764,0.6788014203376699,0.6959809578040214,30.290810047697292
C14-2022-0067,470589.88856203307,0.6721933148050916,0.3338039616156765,0.38472055303690805,8.243105823756084
C14-2019-0103,435829.7871410757,0.46977694724083224,0.26238841971022764,0.35487039050622576,7.140494119311353
C14-2019-0054,932579.0218849966,0.7433686142107045,0.47724725462934037,0.5201585412194913,36.37981830277481
C14-2021-0017,624395.1151017372,0.4336295871299688,0.521046087383577,0.5967583991871397,14.062465621523044
C14-2010-0101,513138.923181274,0.5827768406416001,0.7707821104318947,0.8381963158448623,5.8961751618029
C14-2020-0089,408498.72193970956,0.6091257323366683,0.49861344572767796,0.5948591978881417,64.16280709280127
C14-2008-0156,972454.8117140733,0.6910886723449339,0.22645399334212277,0.3090323339109965,21.42798731384471
C14-2021-0033,947025.6216365064,0.2855423314252846,0.8187984797758026,0.9052561754918383,68.76649370375128
C14-2008-0247,371713.9264734878,0.2857740152856522,0.7377209127188618,0.7913692798504978,52.1287817128108
C14-2020-0044,653847.824293129,0.5667709795337625,0.22614311909502183,0.29269026797520725,60.50390135074465
C14-2020-0146,875505.6468520302,0.6916222572069841,0.2177754318247973,0.3069500231336968,36.91787341232926
C14-2019-0053,1047175.4955011727,0.36248977546196637,0.7607501176466558,0.7812111440201199,35.7852386387808
C14-2013-0034,1157019.0464282725,0.5227279125827724,0.1385800696063865,0.18321140181624151,30.410142258452606
C14-2014-0178,723815.3676720534,0.6361818637316474,0.2885031180713196,0.3312293357974816,67.69649820113284
C14-2021-0136,866996.3335468133,0.6737684119034673,0.8704801338738064,0.9064048697832717,55.22222401325784
C14-2022-0077,742525.4799142744,0.5165606340349225,0.4843109423258475,0.5569485416145104,56.04770625270515
C14-2009-0031,319202.2468644528,0.7001625821507946,0.818031060063879,0.8521256039885249,54.62799346258811
C14-2014-0194,1108867.5075010187,0.2937824264920418,0.8579922808837565,0.9460723642930433,17.522653413565916
C14-2021-0119,1164901.9512377558,0.6260630895699026,0.3408619394589576,0.36887058957161056,9.740230688551637
C14-2016-0079,1124305.5141370352,0.27389503268119,0.19484597021862787,0.24965294183190673,21.012406101546283
C14-2014-0031.SH,738304.0335645775,0.6161176560743897,0.5109266235350656,0.5396959303619685,37.33561086285138
C14-2020-0031.SH,918547.7034919991,0.518441892071321,0.6575759213857661,0.7168997588374125,44.98207926253682
C14-2018-0077,781696.7412875119,0.6180508564004823,0.13827415878728078,0.18166784883101628,16.10646524053862
C14-2008-0057.SH,1099728.915410023,0.24781362071146412,0.3787905148046181,0.3937157390873176,65.04874310444006
C14-2010-0199,968544.440829852,0.3895283116561345,0.18088036152284942,0.22561745495067248,56.5190748827058
C14-2016-0077,361278.5960806445,0.2601071952043989,0.879103574678349,0.9254794284627877,12.118500959506086
C14-2021-0015,614880.021763162,0.2426801460492067,0.43785312353777384,0.4890708980405034,49.95865595622993
C14-99-0069,414888.1589493314,0.46743620942245184,0.4212096627917785,0.5048099598435616,61.7150537278203
C14-2008-0184,524619.7693892716,0.49896992256382094,0.559233650578488,0.6120080884428163,67.3090213304053
C14-2020-0112,1021134.1302039506,0.7414952802321577,0.30107329665488425,0.34672569365634776,16.894330826596963
C14-2008-0223,527071.2027287353,0.6063287633013098,0.1175360182441331,0.18417242932152567,7.776574033713636
C14-2017-0074,688191.3275597792,0.5236122950015731,0.6286145029742598,0.7242242397026033,49.79655298164355
