"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"C17-06-0023","101 WEST 11TH STREET","Capital View Corridor Height","11/29/2006","Approved","9","","","","","30.27263369","-97.74122320"
"NPA-2025-0018.02","Airport Koening Multifamily","Amended Neighborhood Plan","12/04/2025","In Review","4","LI-PDA-NP","CS-NP","0227110201","The applicant is requesting an NPA.","30.32419999","-97.71603795"
"NPA-2023-0015.03","6605 REGIENE ROAD","Amended Neighborhood Plan","08/02/2023","Scheduled for Council Hearing","1","","","0202210102","The applicant proposes to amend a previously approved neighborhood plan.","30.26486588","-97.67009121"
"C814-96-0002","PUBLIC STORAGE RETAIL CENTER","Planned Unit Development (PUD)","08/23/1996","Closed","9","999","999","0108031325","","30.27250081","-97.75917734"
"C17-06-0021","CAPITOL VIEW CORRIDOR FOR 30O BOWIE STREET","Capital View Corridor Height","11/20/2006","Approved","9","","","0107002201","","30.26878205","-97.75392174"
"NPA-2021-0018.01","McCarleys .32","Amended Neighborhood Plan","02/11/2021","Closed","7","","","0228060319","The applicant is proposing to amend an approved neighborhood plan.","30.32817519","-97.73202996"
"NPA-2021-0016.04","5200 E 5TH STREET","Amended Neighborhood Plan","07/29/2021","Withdrawn","3","","","0200160202","The applicant is proposing to amend a previous neighborhood plan.","30.25175637","-97.69702620"
"NPA-2024-0019.02","34th and West (FLUM Amendment)","Amended Neighborhood Plan","12/04/2024","Closed","9","","","0218030747","The applicant is requesting a NPA.","30.30226739","-97.74332759"
"C17-2012-0005","601 W. 11th Street","Capital View Corridor Height","01/10/2012","Recommended for Approval","9","DMU - DOWNTOWN MIXED USE","DMU - DOWNTOWN MIXED USE","0208001605","The applicant is requesting a Capital View Corridor Height Determination for 601 W. 11th Street.","30.27419867","-97.74733810"
"NPA-2021-0005.01","Alpha .95","Amended Neighborhood Plan","07/26/2021","Withdrawn","3","SF-6-NP","CS-NP","0310140166","The applicant is proposing to amend a previous neighborhood plan.","30.21918368","-97.70330221"
"","913 Juniper St","Capital View Corridor Height","01/27/2025","Pending","1","CS - GENERAL COMMERCIAL","CS - GENERAL COMMERCIAL","0208061608","The applicant requests a capital view corridor determination","30.26999090","-97.73023588"
"C17-2010-0153","907 E. 6th Street Capital View Corridor Determination","Capital View Corridor Height","08/31/2010","Closed","3","CS-1-TOD - LIQUOR SALES","CS-1-TOD - LIQUOR SALES","0204051001","The applicant is requesting a Capital View Corridor Determination for 907 E. 6th Street","30.26497451","-97.73295657"
"NPA-2023-0005.02","600 KEMP STREET","Amended Neighborhood Plan","07/31/2023","Withdrawn","3","","","0304160119","The applicant proposes to amend a previously approved neighborhood plan.","30.23963882","-97.69584922"
"NPA-2011-0015.02","Tillery Street","Amended Neighborhood Plan","07/28/2011","Withdrawn","1","W/LO-CO-NP - WAREHOUS/LIMITED OFFICE","LO-MU-NP - LIMITED OFFICE","0212150205","The applicant requesting a neighborhood plan amendment to change use from Mixed Use  to Commercial.","30.28573937","-97.70249018"
"NPA-2024-0030.01","1500 W Stassney Lane NPA","Amended Neighborhood Plan","03/13/2024","Closed","2","","","0414140214","The applicant is requesting an NPA.","30.21282301","-97.79174420"
"C17-2020-0088","1301 LAVACA STREET","Capital View Corridor Height","07/21/2020","Approved","9","1","1","0210022509","Specific CVC Determination","30.27595357","-97.74230977"
"C17-05-0003","307 10TH ST W. (CAPITAL VIEW CORRIDOR)","Capital View Corridor Height","02/08/2005","Approved","9","","","0208011213","","30.27242577","-97.74466688"
"NPA-2023-0024.01","Radius at the Domain","Amended Neighborhood Plan","03/01/2023","Closed","7","NBG-TOD-Gateway-NP","NBG-NP and NBG-TOD-NP","0258100103","The applicant is requesting a NPA.","30.40485376","-97.71371186"
"C814-04-0061.01","RIBELIN RANCH","Planned Unit Development (PUD)","12/28/2006","Closed","","","PUD","","","",""
"C814-04-0024","BRODIE 31 C/O WALTERS SOUTHWEST","Planned Unit Development (PUD)","02/11/2004","Closed","","PUD","DR","","","",""
"C17-2016-0104","1400 Lavaca Height Determination","Capital View Corridor Height","09/14/2016","Recommended for Approval","9","DMU - DOWNTOWN MIXED USE","DMU - DOWNTOWN MIXED USE","0210022012","The applicant proposes to request Capital Dominance determination for one parcel of land located at 1400 Lavaca Street 78701.","30.27701073","-97.74249688"
"C17-05-0007","CAPITOL VIEW CORRIDOR APPLICATION FOR 705 & 709 E. 10TH STREET","Capital View Corridor Height","05/27/2005","Approved","9","","","0206041911","","30.26954215","-97.73427841"
"NPA-07-0022.01","ST. CECILIA HOTEL (PROPOSED)","Amended Neighborhood Plan","02/28/2007","Closed","9","GR","MF-4","0201010301","","30.25211936","-97.74735602"
"C814-82-006.02(83)","Lake Austin Commons PUD Amendment","Planned Unit Development (PUD)","02/21/2024","Closed","9","PUD NP","PUD NP","0109040126","The applicant is proposing to amend a previously approved PUD.","30.27580818","-97.76514466"
"C12M-2024-0002","Pilot Knob MUD Administrative Amendment","Municipal Utility District (MUD)","01/05/2024","Pending","2","PUD","","0339111101","The applicant is proposing to amend the Pilot Knob MUD.","30.15190929","-97.71478520"
"C17-2015-0149","900 Congress Ave","Capital View Corridor Height","11/06/2015","Recommended for Approval","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0206030514","The applicant is requesting a Captial View Corridor Height Determination","30.27114070","-97.74191295"
".SH","Cady Lofts","Amended Neighborhood Plan","03/03/2022","Aborted","9","","","0217090816","The applicant is proposing to amend a previously approved neighborhood plan.","30.29623052","-97.72029870"
"C17-2011-0138","1304 Lavaca St.","Capital View Corridor Height","10/17/2011","Approved","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0210021916","The applicant is requesting a capital view corridor height determination for 1304 Lavaca St.","30.27635139","-97.74253358"
"C17-2016-0088","823 Congress Height Determination","Capital View Corridor Height","08/24/2016","Recommended for Approval","9","999 - SEE COMMENTS","999 - SEE COMMENTS","0206030910","The applicant is requesting a specific capitol view height determination for 823 S. Congress","30.27058401","-97.74144944"
"C17-06-0005","CAPITOL VIEW CORRIDOR FOR 615-605 W. 7TH STREET","Capital View Corridor Height","04/26/2006","Approved","9","","","0107000708","","30.27056346","-97.74901027"
"NPA-2014-0016.02","Springdale Farm","Amended Neighborhood Plan","07/23/2014","Closed","3","CS-MU-CO-NP","CS-MU-CO-NP","0202160901","The applicant is proposing to amend the Govalle/Johnson Terrace neighborhood plan.","30.25788990","-97.70011328"
"","DC-2422 NPA","Amended Neighborhood Plan","07/31/2023","Cancelled","3","","","0204100905","The applicant is proposing an NPA.","30.26110198","-97.71378172"
"NPA-2008-0009.03","MLK","Amended Neighborhood Plan","07/31/2008","Closed","1","GR-VMU","LO-MU, SF-3","0209096201","The applicant is requesting a Neighborhood Plan Amendment on 0.586 acres.","30.27927420","-97.72297831"
"C17-03-0008","CAPITOL VIEW CORRIDOR FOR 619 N. IH 35","Capital View Corridor Height","11/12/2003","Approved","3","","","0206050111","","30.26633899","-97.73378481"
"C12M-2010-0003","Pilot Knob Municipal Utility District No. 1 (MUD 1)","Municipal Utility District (MUD)","10/18/2010","Closed","2","N/A","","0339110110","The applicant is proposing the creation of a water district.","30.14965620","-97.69760830"
"C17-2008-0048","Capital View Corridor for 1306 West Ave","Capital View Corridor Height","02/22/2008","Recommended for Approval","9","MF-4 - MULTI FAMILY MODERATE","MF-4 - MULTI FAMILY MODERATE","0210001301","The applicant is requesting a capital view corridor height determination for 1306 West Ave.","30.27794838","-97.74812822"
"NPA-2024-0019.01","Red River","Amended Neighborhood Plan","07/25/2024","Closed","9","","","0218090203","The applicant is proposing to Amend previous Neighborhood Plan; FLUM change from Single Family to Neighborhood Mixed Use.","30.30298259","-97.72056597"
"C17-2011-0152","309 E. 11th Street","Capital View Corridor Height","11/07/2011","Approved","9","CBD","CBD","0208031501","The applicant is requesting a Capital View Corridor Height Determination for 309 E.11th Street.","30.27175135","-97.73809066"
"NPA-2022-0022.01","406 and 428 E. Alpine Rd.","Amended Neighborhood Plan","07/20/2022","Closed","3","","","0410010437","The applicant is proposing to amend FLUM from Office to Mixed Use.","30.22489000","-97.75726332"
"NPA-2025-0016.01","P & P .72","Amended Neighborhood Plan","06/25/2025","Scheduled for Hearing","3","","","0202170108","The applicant is requesting an NPA.","30.25685069","-97.69478660"
"C17-2023-0031","2307 MANOR ROAD","Capital View Corridor Height","11/09/2022","Case Assigned","1","Unknown","Unknown","0212100211","The applicant is requesting a Capital View Corridor Elevation Determination.","30.28428825","-97.71745608"
"NPA-2010-0010.01","Cristo Rey Catholic Church Lot 6 Rezoning","Amended Neighborhood Plan","07/29/2010","Closed","3","LO-CO-NP","SF-3-NP","0203090909","Case expired on 8-10-2011, per Section 25-1-807 (A)(2).  The applicant is requesting a neighborhood plan amendment..","30.25686913","-97.72037864"
"NPA-2007-0009.03","Stephen Petty NPA","Amended Neighborhood Plan","07/30/2007","Closed","1","CS-NP - GENERAL COMMERCIAL","SF-3-NP - Family Residence-Neighborhood Plan Combining district","0209060605","The applicant is proposing a plan amendment to existing neighborhood plan.","30.27576433","-97.72985204"
"C17-2014-0015","Swisher Addition","Capital View Corridor Height","07/30/2014","Approved","9","CS - GENERAL COMMERCIAL","CS - GENERAL COMMERCIAL","0203000201","The appicant is requesting a Capital View Corridor Height Determination for 200 and 220 S Congress.","30.25983722","-97.74615131"
"C814-04-0187.02.SH","Goodnight Ranch PUD - 2nd Amendment","Planned Unit Development (PUD)","07/03/2014","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is proposing a PUD amendment to: 1) increase the number of residential dwelling units; 2) increase the number of square feet for commercial, retail and office uses; 3) reduce the number","",""
"NPA-2022-0031.01","8640 and 8700 Shoal Creek Blvd.","Amended Neighborhood Plan","08/24/2022","Closed","7","","","0245040601","The applicant is proposing to change the Future Land Use Map of the North Shoal Creek Neighborhood Plan from Industry to
Mixed-Use Activity Corridor.","30.37300013","-97.73730754"
"NPA-2019-0027.02","2401 Winsted Ln","Amended Neighborhood Plan","02/28/2019","Closed","10","","","0116030618","The Applicant proposes to amend a previously approved neighborhood plan.","30.29272774","-97.76046024"
"C17-2013-0116","Capital View Corridor Height for 201 & 205 W. 5th Street","Capital View Corridor Height","09/12/2013","Closed","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0206011712","The applicant is proposing a Capital View Corridor Height for 201 & 205 W. 5th Street","30.26732724","-97.74483211"
"C17-2021-0167","710-718 East 6th Street","Capital View Corridor Height","10/10/2021","Approved","9","a","a","","The applicant is requesting a capital view corridor determination.","30.26618720","-97.73552205"
"C814-2009-0094.02","Whisper Valley PUD Amendment II","Planned Unit Development (PUD)","06/14/2019","Closed","1","PUD, to change a condition of zoning","PUD","0218600125","The Applicant is proposing to amend a previously approved PUD, to modify the location of the proposed collector to the north of Braker Lane on the Park Improvement Plan.","30.30209165","-97.56466268"
"C814-2008-0145.01","Park PUD, The","Planned Unit Development (PUD)","11/20/2017","Closed","9","PUD-NP, to change a condition of zoning","PUD-NP","0102010317","The applicant proposes to administratively amend a previously approved Planned Unit Development.","30.25891009","-97.75254744"
"C17-06-0002","CAPITOL VIEW CORRIDOR FOR 610, 612 & 616 NUECES","Capital View Corridor Height","02/22/2006","Approved and Released","9","","","0107000709","","30.27032936","-97.74844936"
"C17-2017-0155","State House Expansion","Capital View Corridor Height","12/20/2017","Approved","9","CS - GENERAL COMMERCIAL","CS - GENERAL COMMERCIAL","0300012101","The applicant is requesting a capitol view corridor height determination with associated improvements.","30.25142497","-97.74865448"
"NPA-2013-0009.01","1311 East 12th Street","Amended Neighborhood Plan","06/05/2013","Closed","1","","","0207080737","The applicant proposes to amend the Central East Austin Neighborhood Plan,","30.27257526","-97.72585995"
"NPA-2024-0016.01.SH","4900 Gonzales Redevelopment","Amended Neighborhood Plan","02/21/2024","Closed","3","CS-MU-V-NP","P-NP","0202160103","The applicant is proposing neighborhood plan amendment.","30.25591794","-97.69770778"
"NPA-2024-0026.01","301 & 303 Ferguson - automotive repair and automotive sales uses","Amended Neighborhood Plan","04/02/2024","Closed","4","","","0245210412","The Applicant is proposing to amend a previously approved Neighborhood Plan.","30.37600574","-97.68574362"
"NPA-2025-0020.04","Congress Views","Amended Neighborhood Plan","09/16/2025","In Review","2","","","0420070101","The applicant is requesting an NPA.","30.19988804","-97.77542996"
"C17-2007-0198","Capital View Corridor Height Determination for 2610 Manor Road","Capital View Corridor Height","10/15/2007","Closed","9","N/A","LR-CO-NP","0213110145","The applicant is proposing an application for a Capital View Corridor Height Determination for 2610 Manor Road","30.28533875","-97.71448668"
"C17-2013-0117","Capital View Corridor Height  for 401 & 405 Colorado Street","Capital View Corridor Height","09/12/2013","Closed","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0205020215","The applicant is proposing a Capital View Corridor Height for 401 & 405 Colorado Street.","30.26675694","-97.74451154"
"C12M-2010-0001","River Place MUD Out of District Service Request, Dunlap Tract","Municipal Utility District (MUD)","02/02/2010","Approved","10","999 - SEE COMMENTS","","0142271644","The applicant is requesting out of district service from the River Place M.U.D. at 4912 City Park Road.","30.36433042","-97.83011524"
"NPA-2017-0014.01","8008 Burleson Road FLUM  Amendment","Amended Neighborhood Plan","03/20/2017","Closed","2","CS - GENERAL COMMERCIAL","W/LO-NP, DR-NP,IP-CO-NP","0324180301","The applicant is proposing amend Southeast of the Southeast Combined Neighborhood plan with associated improvements.
**On April 27, 2017 the applicant corrected application to request a FLUM change f","30.18674554","-97.69111956"
"NPA-2023-0017.01","Anderson Square","Amended Neighborhood Plan","06/16/2023","Scheduled for Hearing","4","CH-PDA-NP","CS-MU-NP","0236120410","The applicant is requesting an NP Amendment from Mixed Use to High Density Mixed Use.

Related case:  C14-2023-0080","30.34944533","-97.71427475"
"C814-06-0052","SPRINGFIELD PUD","Planned Unit Development (PUD)","03/15/2006","Expired","","PUD","LR","","","",""
"NPA-2016-0021.02","2624 Metcalfe Rd.","Amended Neighborhood Plan","07/21/2016","Closed","3","","","0308041801","The applicant is requesting a neighborhood plan amendment from Single Family Land Use to Higher Density Single Family Land Use. 
**Scheduled for Sept 13, 2016 PC and Oct. 13, 2016 CC hearings**","30.22710760","-97.73796041"
"NPA-2025-0017.01","NPAs for the North Lamar Transit Center Station Area Vision Plan","Amended Neighborhood Plan","02/03/2025","Closed","4","","","0236120411","The City of Austin Planning Department is proposing to amend a previously approved neighborhood plan.","30.34856217","-97.71426068"
"C814-2012-0128.03.SH","thinkEAST Austin PUD","Planned Unit Development (PUD)","10/31/2019","Closed","3","PUD-NP","PUD-NP","0204190405","The Applicant is proposing to amend 10.83 acres of an approved Planned Unit Development, to increase the maximum height and number of stories, and the maximum number of multifamily residential units.","30.26269907","-97.69110353"
"NPA-07-0017.01","Justin Lane and Justin Lane Substation","Amended Neighborhood Plan","06/21/2007","Closed","7","","P-NP","0231081102","The applicant is requesting a neighborhood plan amendment.","30.33821417","-97.72088197"
"NPA-2008-0012.03","Pediatric Cardiology of Austin","Amended Neighborhood Plan","11/12/2008","Closed","9","LO - H - NP - Limited Office - Historic - Neighborhood Plan","NO - H - NP - Neighborhood Office - Historic - Neighborhood Plan","0214090637","The applicant is requesting a Neighborhood Plan Amendment.","30.28941928","-97.72171593"
"NPA-2022-0014.03","Chapman 71","Amended Neighborhood Plan","08/03/2022","Closed","2","","","0314060304","The applicant is proposing to amend a previously approved neighborhood plan.","30.21244513","-97.72845524"
"C814-2009-0139.04","Bull Creek PUD Amendment #4","Planned Unit Development (PUD)","02/07/2024","In Review","10","PUD","PUD","0135110101","The Applicant proposes to amend a previously approved Planned Unit Development to update the restoration plan and corresponding exhibits within the PUD ordinance to remove the open water habitat pond","30.34966950","-97.78561110"
"NPA-2025-0026.01","NPAs for the North Lamar Transit Center Station Area Vision Plan","Amended Neighborhood Plan","02/03/2025","Closed","4","","","0234140110","The City of Austin Planning Department is proposing to amend a previously approved neighborhood plan.","30.34463818","-97.70529164"
"C814-95-0002.13","Four Points PUD Lot 5A Amendment","Planned Unit Development (PUD)","06/13/2018","Withdrawn","10","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","0156300305","The Applicant is proposing to amend for an increase of height of Lot 5 of the Four Points Centre PUD from 40 feet to 65 feet.","30.40205315","-97.84593293"
"NPA-2008-0015.02","3617 Axel Lane","Amended Neighborhood Plan","07/16/2008","Closed","1","MF-6 - NP","LI - LIMITED INDUSTRIAL SERVICES","0209230404","The applicant is proposing to amend the Neighborhood Plan-Change in Future Land Use Designation from LI-NP to MF-6-NP.","30.27476618","-97.67547119"
"NPA-06-0001.01","515 POST ROAD","Amended Neighborhood Plan","02/28/2006","Scheduled for Hearing","3","","","0408040202","NP-06-0001.01_0  has been changed to  NPA-06-0001.01_0  on  01-mar-2006 07:18:51 by SHARI PAPE.","30.22838049","-97.76783104"
"NPA-2022-0016.02","Borden Tract","Amended Neighborhood Plan","07/18/2022","Closed","3","","","0302170107","The applicant is proposing to Amend the Future Land Use Map from Industry to Mixed Use","30.24866513","-97.69289410"
"NPA-2024-0015.01","Gunter Rezoning","Amended Neighborhood Plan","06/21/2024","Approved","1","","","0207170305","The applicant is proposing to amend previously approved neighborhood plan.","30.27200464","-97.69542759"
"C814-2024-0001","500 South Congress PUD","Planned Unit Development (PUD)","05/13/2024","Closed","9","PUD-NP","CS-1-NP","0202000121","The applicant is requesting a PUD.","30.25686168","-97.74807490"
"NPA-2009-0007.01","Northgate Laundromat","Amended Neighborhood Plan","02/18/2009","Closed","4","","MF-3-NP","0244110301","The applicant is requesting a Neighborhood Plan Amendment.","30.37063582","-97.71597353"
"C17-2024-0131","1303-1/2 Shoal Creek","Capital View Corridor Height","09/04/2024","Approved","9","SF-3","SF-3","0210000319","The applicant requests a capital view corridor determination.","30.27867004","-97.75003227"
"NPA-2025-0007.01","NPAs for the North Lamar Transit Center Station Area Vision Plan","Amended Neighborhood Plan","02/03/2025","Closed","4","","","0236120312","The City of Austin Planning Department is proposing to amend a previously approved neighborhood plan.","30.34960108","-97.71193651"
"NPA-2007-0001.02","COBALT 2602-2606 Wilson Street","Amended Neighborhood Plan","04/11/2007","Closed","3","MF-3-NP","SF-3-NP - Family Residence-Neighborhood Plan Combining district","0404021301","The applicant  filing a Neighborhood Plan Amendment","30.23842958","-97.75963446"
"C17-01-0006","ALGONQUIN REALTY, INC.","Capital View Corridor Height","03/06/2001","Closed","9","","","0108030101","","30.27305382","-97.76288579"
"NPA-2017-0016.05","Tillery MF","Amended Neighborhood Plan","07/31/2017","Withdrawn","3","","","0202140201","The applicant proposes to change a previously approved neighborhood plan.","30.25581499","-97.70662259"
"NPA-2020-0002.02","6th & Onion","Amended Neighborhood Plan","07/31/2020","Closed","3","","","0204063201","The applicant is proposing to amend a previously approved neighborhood plan.","30.26289975","-97.72735692"
"C17-2024-0117","1100 W CESAR CHAVEZ STREET","Capital View Corridor Height","07/29/2024","Approved","9","a","a","0106020104","The applicant is requesting a Capitol View Corridor determination.","30.26896382","-97.75698396"
"NPA-2021-0017.01","7113 BURNET ROAD","Amended Neighborhood Plan","02/11/2021","Closed","7","","","0235040306","The applicant is proposing an amendment to a previously approved neighborhood plan.","30.34745852","-97.73545167"
"C17-2019-0080","1100 KINGSBURY STREET Kingsbury Commons CVC","Capital View Corridor Height","04/25/2019","Approved","10","See application","See application","0112000401","The applicant is requesting a general Capital View Dominance determindation","30.28117529","-97.75138175"
"C814-2012-0055.01","Covered Bridge Planned Unit Development Revision #1","Planned Unit Development (PUD)","09/03/2013","Closed","8","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","0402480330","The applicant is proposing to correct building coverage on Tracts 2 & 4.  City Initiated","30.24872602","-97.89593924"
"NPA-2023-0018.03","5514 Grover and 5515 Roosevelt Avenue","Amended Neighborhood Plan","02/24/2023","Closed","7","MF-5-NP","SF-3-NP","0228060909","The Applicant is requesting an NP Amendment from Single Family to Multifamily land use. 

Related case:  C14-2023-0065","30.32654711","-97.73217214"
"NPA-2007-0014.01","Felter Investments","Amended Neighborhood Plan","07/31/2007","Closed","2","","LI - CO- NP LIMITED INDUSTRIAL SERVICES","0323110405","The applicant is requesting change in futue land use designation.","30.18839856","-97.69214831"
"C17-2025-0119","807 E 4TH STREET","Capital View Corridor Height","12/05/2025","Approved","3","v","v","0204050310","The applicant is requesting a capital view corridor determination.","30.26355271","-97.73472480"
"NPA-04-0011.01","51ST ST MIXED USE","Amended Neighborhood Plan","01/28/2004","Closed","9","","SF-3","0223080701","FEES WAIVED PER KATHLEEN WELDER.","30.31611111","-97.72318406"
"C814-2012-0163","Sun Chase PUD","Planned Unit Development (PUD)","12/21/2012","Closed","2","PUD - PLANNED UNIT DEVELOPMENT","I-SF2 - INTERIM SINGLE FAMILY STANDARD","0336520134","The applicant is proposing to zone 1,604 acres consistent with the boundaries of Southeast Travis County MUDs No. 1 thru 4 from I-RR to PUD.","30.15349491","-97.59166208"
"C814-04-0144","SIXTH & LAMAR (MARKET DISTRICT-NORTH BLOCK)","Planned Unit Development (PUD)","09/24/2004","Expired","9","DMU","CS","0107000121","","30.27179971","-97.75344496"
"NPA-2017-0005.03","Affordable Dream Housing","Amended Neighborhood Plan","07/31/2017","Withdrawn","3","","CS-NP","0310140166","The applicant proposes to amend a previously approved Neighborhood plan.","30.21918368","-97.70330221"
"C814-2023-0057","200 E. Riverside PUD","Planned Unit Development (PUD)","04/07/2023","Closed","9","PUD-NP, planned unit development - neighborhood plan","L-NP, lake commercial - neighborhood plan","0201011106","The Applicant is proposing to rezone approximately 3.955 acres from L-NP to PUD-NP.

Related case:  CD-2022-0003","30.25532308","-97.74406726"
"NPA-2016-0030.01","Villas at Vinson Oak","Amended Neighborhood Plan","06/02/2016","Withdrawn","3","mf-2-np","sf-3-np","0410080728","The applicant is amending a neighborhood plan in the South Austin Combined Neighborhood Planning Area from Residential Core to Neighborhood Transition.
8/2/16 - Applicant amended zoning request to SF","30.22007876","-97.77753332"
"C17-2019-0052","710 E 3RD ST - CAPITAL VIEW CORRIDOR ELEVATION DETERMINATION","Capital View Corridor Height","03/05/2019","Approved","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0204041810","The applicant proposes a specific capital view corridor elevation determination.","30.26336306","-97.73649469"
"NPA-2025-0022.01","NPAs for the South Congress Transit Center Station Area Vision Plan","Amended Neighborhood Plan","02/03/2025","Closed","3","","","0410030607","The City of Austin Planning Department is proposing to amend a previously approved neighborhood plan.","30.22221713","-97.76097983"
"C814-2012-0163.01","Sun Chase PUD Amendment #1","Planned Unit Development (PUD)","08/17/2023","Closed","2","PUD, planned unit development, to 1) modify to the alignment of rights-of-way, including the location of Sun Chase Parkway, 2) adjust use district boundaries, 3) change private and public parkland within the Property, 4) provide clarification on the method for assessing the protected trees, and 5) incorporate the above-referenced adjustments to certain PUD exhibits","PUD, planned unit development","0336520134","The Applicant is proposing the first amendment to 1418.135 acres within the Sun Chase PUD, to 1) modify to the alignment of rights-of-way, including the location of Sun Chase Parkway, 2) adjust use di","30.15349491","-97.59166208"
"NPA-2023-0025.01","5725 W US 290 HIGHWAY","Amended Neighborhood Plan","03/02/2023","Closed","8","","GR-NP","0406280503","The applicant proposes to amend a previously approved neighborhood plan.","30.23526178","-97.84676683"
"C17-2009-0019","1100 West Cesar Chavez Street- Capital View Corridor","Capital View Corridor Height","02/24/2009","Recommended for Approval","9","LI-CO-NP","LI-CO-NP","0106020104","The applicant is requesting Capital View Corridor Height Determination for 1100 West Cesar Chavez Street.","30.26896382","-97.75698396"
"C14-97-0141.04","Parmer North PDA Amendment #4","Planned Development Agreement (PDA)","02/06/2026","In Review","7","LI-PDA","LI-PDA","0258280301","The applicant is requesting to amend a previously approved planned development agreement.","30.40375771","-97.65964166"
"C814-06-0218","LAKELINE STATION AREA PLAN/PLANNED UNIT DEVELOPMENT","Planned Unit Development (PUD)","11/17/2006","Closed","","PUD","IRR - INTERIM RURAL RESIDENCE","","","",""
"NPA-2022-0015.04","Hudson #3","Amended Neighborhood Plan","07/26/2022","Closed","1","","","0207240205","The applicant is proposing to amend previously approved Neighborhood Plan","30.26986818","-97.67244375"
"C17-2012-0091","612 W. 4th Street","Capital View Corridor Height","07/24/2012","Approved","9","CBD - CENTRAL BUSINESS DISTRICT","CBD - CENTRAL BUSINESS DISTRICT","0107001508","The applicant is requesting a Capital View Corridor Height Determination for 612 W. 4th Street.","30.26828254","-97.74978425"
"NPA-2010-0018.03","EP Austin Properties Neighborhood Plan Amendment","Amended Neighborhood Plan","08/31/2010","Closed","7","CS-MU - GENERAL COMMERCIAL-Mixed Use","SF-3-NP - Family Residence-Neighborhood Plan Combining district","0226040132","The applicant is requesting to amend a neighborhood plan.","30.32105339","-97.73808061"
"C814-06-0175.06","East Avenue PUD Amendment #6, Parcel A","Planned Unit Development (PUD)","03/27/2024","Closed","9","PUD","PUD","0215080826","The Applicant is proposing to amend 1.13 acres of a previously approved PUD to allow development to comply with modified Great Streets Program criteria or standards on Parcel A. (Administrative)","30.29333413","-97.72096028"
"NPA-2019-0022.02","305 S Congress PUD First Plan Amendment","Amended Neighborhood Plan","07/24/2019","Closed","9","","","0203020202","Out-of-Cycle approval by Asst. Dir. Jerry Rusthoven. See memo from him in the application packet that is attached.","30.25882293","-97.74400192"
"NPA-2011-0005.01","Riverside Gardens","Amended Neighborhood Plan","02/14/2011","Closed","","SF-4A - SINGLE FAMILY SMALL LOT","CS-NP; MF 3-NP","0309160106","The applicant is proposing to amend Montopolis Neighborhood Plan.","30.22335322","-97.69848556"
"C17-05-0002","1010 LAVACA ST. (CAPITAL VIEW  CORRIDOR)","Capital View Corridor Height","02/08/2005","Approved","9","","","0208011303","","30.27306623","-97.74383219"
"C17-2012-0131","408 W. 11th Street","Capital View Corridor Height","10/22/2012","Approved","9","DMU-CURE","DMU","0208010906","The applicant is requesting a Capital View Corridor Height Determination for 408 W. 11th Street.","30.27403212","-97.74494702"
"NPA-2018-0028.02","10711 Joseph Clayton Dr.","Amended Neighborhood Plan","07/30/2018","Withdrawn","1","","","0245230608","The applicant is proposing a neighborhood plan amendment for a previously approved neighborhood plan.","30.37127138","-97.67665273"
"C17-2016-0029","Austin Lakeside Hotel Owner, LLC","Capital View Corridor Height","03/14/2016","Recommended for Approval","9","cs","cs","0205020301","The applicant wants to know what the height is and how far into the corridor it goes.","30.26309809","-97.74405836"
"NPA-2022-0027.01","SHQ W 35th","Amended Neighborhood Plan","02/06/2022","Closed","10","","","0120010903","The applicant is proposing to Amend a previous neighborhood plan.","30.30809290","-97.75384407"
"NPA-2023-0013.02","700 Dawson","Amended Neighborhood Plan","02/28/2023","Closed","9","","","0102020304","The applicant is proposing a NPA.","30.25814302","-97.75693370"
"C17-2018-0129","Walnut Remodel","Capital View Corridor Height","10/16/2018","Approved","9","SF-3-NP - Family Residence-Neighborhood Plan Combining district","SF-3-NP - Family Residence-Neighborhood Plan Combining district","0213110303","The applicant is requesting a general Capital View Corridor Height Determination.","30.28581504","-97.71410614"
"NPA-2014-0011.01","MDC Programs Annex","Amended Neighborhood Plan","02/24/2014","Closed","9","GO-CP-NP","SF-3NP","0222120623","The applicant is proposing to amend North Loop Neighborhood Plan","30.30947512","-97.71243057"
